Reference,Description,Specification,Status,Notes
BT1,LiFePO4 배터리,24V class / 108Ah,candidate,"기존 도면의 24V 108Ah를 유지. 실제 모델·BMS 정격 미확정. 8S라면 공칭 25.6V, 충전 상한은 제조사 확인."
F0,메인 퓨즈,60A *,candidate,배터리 + 가까이 설치. 60A는 검토값. DC 전압·차단용량·전선 보호 협조 확정 전 통전 금지.
S0,메인 차단 스위치,DC disconnect,candidate,전류 정격과 DC 부하 차단 능력 확인. 배터리 -는 외부 공통 0V 버스로 연결.
X24,배터리 전원 분배,24V class,candidate,절연 커버가 있는 양극 전용 버스. 음극 버스와 물리적으로 분리.
X0,공통 0V 분배,0V / star return,candidate,비절연 DC-DC 기준. 모터·서보 귀환은 이 버스로 직접 연결. 브레드보드를 대전류 귀환 경로로 사용하지 않음.
K1,구동 전원 접촉기,12V coil / DC main contacts,candidate,12V 코일과 별도 NO 보조접점이 필요. DC 주접점 정격은 최종 선정. E-stop은 구동전원 차단이며 제동 보장은 아님.
F1,좌측 모터 입력 퓨즈,25A *,candidate,
F2,우측 모터 입력 퓨즈,25A *,candidate,
MDL,좌측 모터 드라이버,SMC G2 24v19 / UART,conditional,"Pololu G2 SMC 24v19를 조건부 기준으로 사용. 정상 권장 상한 34V. 19A 연속값은 조건부이며 스톨·열·회생은 별도 검증. 포함 단자대는 제조사 15~16A 안내가 있어 25A 보호분기에는 그대로 승인하지 않음. UART timeout, safe-start 설정 필요."
ML,좌측 감속모터,24V / 250W,candidate,24V 250W 브러시드 DC 감속모터 가정. 극성은 바퀴를 띄운 상태에서 확인. 스톨 전류 미확정.
MDR,우측 모터 드라이버,SMC G2 24v19 / UART,conditional,"Pololu G2 SMC 24v19를 조건부 기준으로 사용. 정상 권장 상한 34V. 19A 연속값은 조건부이며 스톨·열·회생은 별도 검증. 포함 단자대는 제조사 15~16A 안내가 있어 25A 보호분기에는 그대로 승인하지 않음. UART timeout, safe-start 설정 필요."
